date,betten_belegt,betten_frei
2020-07-28,6,10
2020-07-29,6,10
2020-07-30,6,10
2020-07-31,6,10
2020-08-01,6,10
2020-08-02,4,10
2020-08-03,5,11
2020-08-04,5,11
2020-08-05,4,4
2020-08-06,3,5
2020-08-07,6,2
2020-08-08,4,4
2020-08-09,6,2
2020-08-10,6,2
2020-08-11,6,2
2020-08-12,6,2
2020-08-13,5,3
2020-08-14,5,3
2020-08-15,6,2
2020-08-16,6,2
2020-08-17,6,2
2020-08-18,6,2
2020-08-19,6,2
2020-08-20,6,2
2020-08-21,5,3
2020-08-22,4,4
2020-08-23,3,5
2020-08-24,6,2
2020-08-25,2,6
2020-08-26,3,5
2020-08-27,4,4
2020-08-28,3,5
2020-08-29,6,2
2020-08-30,5,3
2020-08-31,4,4
2020-09-01,5,3
2020-09-02,6,2
2020-09-03,5,3
2020-09-04,4,4
2020-09-05,6,2
2020-09-06,6,2
2020-09-07,5,3
2020-09-08,5,3
2020-09-09,4,4
2020-09-10,7,1
2020-09-11,6,2
2020-09-12,7,1
2020-09-13,5,3
2020-09-14,4,4
2020-09-15,6,2
2020-09-16,6,2
2020-09-17,6,2
2020-09-18,4,4
2020-09-19,6,2
2020-09-20,5,3
2020-09-21,5,3
2020-09-22,6,2
2020-09-23,6,2
2020-09-24,6,2
2020-09-25,6,2
2020-09-26,7,1
2020-09-27,6,2
2020-09-28,6,2
2020-09-29,8,0
2020-09-30,5,3
2020-10-01,5,3
2020-10-02,4,4
2020-10-03,4,4
2020-10-04,6,2
2020-10-05,6,2
2020-10-06,4,4
2020-10-07,5,3
2020-10-08,8,0
2020-10-09,6,2
2020-10-10,7,1
2020-10-11,8,0
2020-10-12,8,0
2020-10-13,8,0
2020-10-14,7,1
2020-10-15,6,2
2020-10-16,7,1
2020-10-17,5,3
2020-10-18,6,2
2020-10-19,6,2
2020-10-20,5,3
2020-10-21,5,3
2020-10-22,6,2
2020-10-23,7,1
2020-10-24,7,1
2020-10-25,5,3
2020-10-26,5,3
2020-10-27,5,3
2020-10-28,6,2
2020-10-29,6,2
2020-10-30,7,1
2020-10-31,5,3
2020-11-01,6,2
2020-11-02,6,2
2020-11-03,7,1
2020-11-04,8,0
2020-11-05,8,0
2020-11-06,6,2
2020-11-07,8,0
2020-11-08,7,1
2020-11-09,8,0
2020-11-10,6,2
2020-11-11,6,2
2020-11-12,7,1
2020-11-13,6,2
2020-11-14,6,2
2020-11-15,4,4
2020-11-16,4,4
2020-11-17,6,2
2020-11-18,5,3
2020-11-19,6,2
2020-11-20,3,5
2020-11-21,7,1
2020-11-22,4,4
2020-11-23,2,6
2020-11-24,4,4
2020-11-25,8,0
2020-11-26,7,1
2020-11-27,6,2
2020-11-28,6,2
2020-11-29,3,5
2020-11-30,3,5
2020-12-01,7,1
2020-12-02,6,2
2020-12-03,8,0
2020-12-04,8,0
2020-12-05,7,1
2020-12-06,5,3
2020-12-07,4,4
2020-12-08,6,0
2020-12-09,6,0
2020-12-10,6,0
2020-12-11,6,0
2020-12-12,6,0
2020-12-13,5,1
2020-12-14,5,1
2020-12-15,5,1
2020-12-16,7,0
2020-12-17,6,0
2020-12-18,5,1
2020-12-19,5,1
2020-12-20,4,0
2020-12-21,5,0
2020-12-22,5,0
2020-12-23,5,0
2020-12-24,6,0
2020-12-25,5,1
2020-12-26,5,1
2020-12-27,6,0
2020-12-28,6,0
2020-12-29,7,0
2020-12-30,6,0
2020-12-31,5,1
2021-01-01,5,1
2021-01-02,6,0
2021-01-03,7,1
2021-01-04,7,1
2021-01-05,6,0
2021-01-06,7,0
2021-01-07,8,0
2021-01-08,8,0
2021-01-09,6,2
2021-01-10,6,0
2021-01-11,6,0
2021-01-12,6,0
2021-01-13,4,0
2021-01-14,6,0
2021-01-15,6,1
2021-01-16,6,1
2021-01-17,3,4
2021-01-18,7,0
2021-01-19,7,0
2021-01-20,7,0
2021-01-21,7,0
2021-01-22,6,1
2021-01-23,6,1
2021-01-24,5,2
2021-01-25,4,3
2021-01-26,7,1
2021-01-27,7,1
2021-01-28,4,0
2021-01-29,6,0
2021-01-30,8,0
2021-01-31,5,0
2021-02-01,6,0
2021-02-02,6,0
2021-02-03,7,0
2021-02-04,7,0
2021-02-05,7,0
2021-02-06,8,0
2021-02-07,8,0
2021-02-08,8,0
2021-02-09,8,0
2021-02-10,7,1
2021-02-11,8,0
2021-02-12,8,0
2021-02-13,7,1
2021-02-14,7,1
2021-02-15,7,1
2021-02-16,6,0
2021-02-17,7,1
2021-02-18,6,0
2021-02-19,6,0
2021-02-20,6,0
2021-02-21,7,0
2021-02-22,6,0
2021-02-23,6,0
2021-02-24,5,1
2021-02-25,6,0
2021-02-26,6,0
2021-02-27,6,0
2021-02-28,7,0
2021-03-01,7,0
2021-03-02,6,0
2021-03-03,6,0
2021-03-04,6,0
2021-03-05,6,0
2021-03-06,6,0
2021-03-07,5,1
2021-03-08,6,0
2021-03-09,6,0
2021-03-10,6,0
2021-03-11,8,0
2021-03-12,8,0
2021-03-13,7,1
2021-03-14,7,1
2021-03-15,8,0
2021-03-16,7,1
2021-03-17,8,0
2021-03-18,7,1
2021-03-19,6,0
2021-03-20,6,0
2021-03-21,5,1
2021-03-22,5,1
2021-03-23,5,1
2021-03-24,6,0
2021-03-25,6,0
2021-03-26,6,0
2021-03-27,5,1
2021-03-28,5,1
2021-03-29,5,1
2021-03-30,6,0
2021-03-31,6,0
2021-04-01,6,0
2021-04-02,7,0
2021-04-03,3,3
2021-04-04,5,1
2021-04-05,5,1
2021-04-06,5,0
2021-04-07,7,0
2021-04-08,6,0
2021-04-09,8,0
2021-04-10,7,1
2021-04-11,7,1
2021-04-12,8,0
2021-04-13,8,0
2021-04-14,8,0
2021-04-15,8,0
2021-04-16,8,0
2021-04-17,8,0
2021-04-18,8,0
2021-04-19,8,0
2021-04-20,8,0
2021-04-21,8,0
2021-04-22,7,1
2021-04-23,7,1
2021-04-24,5,1
2021-04-25,6,0
2021-04-26,6,0
2021-04-27,6,0
2021-04-28,7,1
2021-04-29,8,0
2021-04-30,7,1
2021-05-01,7,1
2021-05-02,7,1
2021-05-03,7,1
2021-05-04,7,1
2021-05-05,7,1
2021-05-06,7,1
2021-05-07,7,1
2021-05-08,6,2
2021-05-09,5,3
2021-05-10,5,3
2021-05-11,7,0
2021-05-12,8,0
2021-05-13,5,1
2021-05-14,5,1
2021-05-15,6,0
2021-05-16,6,0
2021-05-17,6,0
2021-05-18,6,1
2021-05-19,8,0
2021-05-20,6,0
2021-05-21,7,0
2021-05-22,7,0
2021-05-23,5,1
2021-05-24,4,2
2021-05-25,5,1
2021-05-26,6,0
2021-05-27,4,2
2021-05-28,6,0
2021-05-29,7,0
2021-05-30,4,2
2021-05-31,3,3
2021-06-01,6,0
2021-06-02,5,1
2021-06-03,6,0
2021-06-04,6,0
2021-06-05,6,0
2021-06-06,4,2
2021-06-07,4,2
2021-06-08,5,1
2021-06-09,6,0
2021-06-10,4,2
2021-06-11,6,0
2021-06-12,6,0
2021-06-13,5,1
2021-06-14,6,0
2021-06-15,6,0
2021-06-16,6,0
2021-06-17,6,0
2021-06-18,6,0
2021-06-19,5,1
2021-06-20,4,2
2021-06-21,4,2
2021-06-22,6,0
2021-06-23,8,0
2021-06-24,6,0
2021-06-25,6,0
2021-06-26,6,0
2021-06-27,6,0
2021-06-28,6,0
2021-06-29,6,1
2021-06-30,6,1
2021-07-01,6,1
2021-07-02,4,3
2021-07-03,8,0
2021-07-04,6,1
2021-07-05,6,1
2021-07-06,7,0
2021-07-07,7,0
2021-07-08,6,2
2021-07-09,6,2
2021-07-10,5,1
2021-07-11,3,3
2021-07-12,3,3
2021-07-13,7,1
2021-07-14,7,1
2021-07-15,6,2
2021-07-16,4,2
2021-07-17,5,1
2021-07-18,6,0
2021-07-19,6,0
2021-07-20,6,0
2021-07-21,7,0
2021-07-22,8,0
2021-07-23,8,0
2021-07-24,5,3
2021-07-25,5,3
2021-07-26,8,0
2021-07-27,6,2
2021-07-28,7,1
2021-07-29,8,0
2021-07-30,7,1
2021-07-31,8,0
2021-08-01,7,1
2021-08-02,6,2
2021-08-03,3,2
2021-08-04,6,2
2021-08-05,7,1
2021-08-06,7,1
2021-08-07,8,0
2021-08-08,7,1
2021-08-09,7,1
2021-08-10,4,4
2021-08-11,6,2
2021-08-12,6,2
2021-08-13,7,1
2021-08-14,8,0
2021-08-15,8,0
2021-08-16,5,3
2021-08-17,6,2
2021-08-18,5,3
2021-08-19,7,1
2021-08-20,8,0
2021-08-21,8,0
2021-08-22,6,2
2021-08-23,6,2
2021-08-24,6,2
2021-08-25,6,2
2021-08-26,8,0
2021-08-27,8,0
2021-08-28,7,1
2021-08-29,6,2
2021-08-30,7,1
2021-08-31,6,2
2021-09-01,6,2
2021-09-02,7,1
2021-09-03,6,2
2021-09-04,5,3
2021-09-05,3,5
2021-09-06,5,3
2021-09-07,6,2
2021-09-08,6,2
2021-09-09,4,4
2021-09-10,4,4
2021-09-11,6,2
2021-09-12,6,2
2021-09-13,2,6
2021-09-14,3,5
2021-09-15,6,2
2021-09-16,5,3
2021-09-17,7,1
2021-09-18,6,2
2021-09-19,6,2
2021-09-20,6,2
2021-09-21,6,2
2021-09-22,5,3
2021-09-23,6,2
2021-09-24,6,2
2021-09-25,5,3
2021-09-26,1,7
2021-09-27,2,6
2021-09-28,6,2
2021-09-29,6,2
2021-09-30,5,3
2021-10-01,7,1
2021-10-02,8,0
2021-10-03,6,2
2021-10-04,6,2
2021-10-05,5,3
2021-10-06,8,0
2021-10-07,6,2
2021-10-08,7,1
2021-10-09,7,1
2021-10-10,5,3
2021-10-11,5,3
2021-10-12,7,1
2021-10-13,7,1
2021-10-14,7,1
2021-10-15,7,1
2021-10-16,6,2
2021-10-17,5,3
2021-10-18,7,1
2021-10-19,7,1
2021-10-20,6,2
2021-10-21,6,2
2021-10-22,4,4
2021-10-23,5,3
2021-10-24,4,4
2021-10-25,5,3
2021-10-26,6,2
2021-10-27,6,2
2021-10-28,7,1
2021-10-29,7,1
2021-10-30,8,0
2021-10-31,7,1
2021-11-01,6,2
2021-11-02,6,2
2021-11-03,8,0
2021-11-04,7,1
2021-11-05,7,1
2021-11-06,6,2
2021-11-07,7,0
2021-11-08,8,0
2021-11-09,7,1
2021-11-10,8,0
2021-11-11,6,2
2021-11-12,6,2
2021-11-13,6,2
2021-11-14,6,2
2021-11-15,5,3
2021-11-16,5,3
2021-11-17,5,3
2021-11-18,5,3
2021-11-19,6,2
2021-11-20,6,2
2021-11-21,5,3
2021-11-22,7,1
2021-11-23,5,3
2021-11-24,4,4
2021-11-25,5,3
2021-11-26,8,0
2021-11-27,7,1
2021-11-28,7,1
2021-11-29,6,2
2021-11-30,5,3
2021-12-01,5,3
2021-12-02,4,4
2021-12-03,5,1
2021-12-04,6,0
2021-12-05,6,0
2021-12-06,5,1
2021-12-07,5,1
2021-12-08,7,1
2021-12-09,8,0
2021-12-10,6,2
2021-12-11,5,3
2021-12-12,6,2
2021-12-13,7,1
2021-12-14,5,3
2021-12-15,5,3
2021-12-16,7,1
2021-12-17,8,0
2021-12-18,6,2
2021-12-19,6,2
2021-12-20,6,2
2021-12-21,5,3
2021-12-22,5,3
2021-12-23,5,3
2021-12-24,5,3
2021-12-25,5,3
2021-12-26,4,4
2021-12-27,4,4
2021-12-28,5,3
2021-12-29,7,1
2021-12-30,7,1
2021-12-31,7,1
2022-01-01,6,2
2022-01-02,7,1
2022-01-03,8,0
2022-01-04,8,0
2022-01-05,6,2
2022-01-06,7,1
2022-01-07,3,5
2022-01-08,5,3
2022-01-09,4,4
2022-01-10,5,3
2022-01-11,4,4
2022-01-12,4,4
2022-01-13,4,4
2022-01-14,4,4
2022-01-15,3,5
2022-01-16,3,5
2022-01-17,3,5
2022-01-18,3,5
2022-01-19,4,4
2022-01-20,4,4
2022-01-21,4,4
2022-01-22,5,3
2022-01-23,6,2
2022-01-24,5,3
2022-01-25,4,4
2022-01-26,5,2
2022-01-27,6,1
2022-01-28,6,2
2022-01-29,3,3
2022-01-30,3,3
2022-01-31,3,5
2022-02-01,3,5
2022-02-02,4,2
2022-02-03,6,0
2022-02-04,6,0
2022-02-05,4,2
2022-02-06,5,1
2022-02-07,4,2
2022-02-08,5,1
2022-02-09,4,2
2022-02-10,4,2
2022-02-11,5,3
2022-02-12,5,3
2022-02-13,4,4
2022-02-14,5,3
2022-02-15,5,3
2022-02-16,6,2
2022-02-17,5,3
2022-02-18,3,3
2022-02-19,4,2
2022-02-20,5,1
2022-02-21,5,1
2022-02-22,5,1
2022-02-23,7,1
2022-02-24,6,0
2022-02-25,6,0
2022-02-26,5,1
2022-02-27,3,3
2022-02-28,3,5
