date,betten_belegt,betten_frei
2020-10-15,1,7
2020-10-16,3,5
2020-10-17,6,2
2020-10-18,5,3
2020-10-19,5,3
2020-10-20,5,3
2020-10-21,8,0
2020-10-22,7,1
2020-10-23,6,2
2020-10-24,7,1
2020-10-25,7,1
2020-10-26,6,2
2020-10-27,4,4
2020-10-28,8,0
2020-10-29,7,1
2020-10-30,8,0
2020-10-31,7,1
2020-11-01,6,2
2020-11-02,7,1
2020-11-03,7,1
2020-11-04,8,0
2020-11-05,6,2
2020-11-06,5,3
2020-11-07,3,5
2020-11-08,6,2
2020-11-09,5,3
2020-11-10,7,1
2020-11-11,8,0
2020-11-12,8,0
2020-11-13,8,0
2020-11-14,6,2
2020-11-15,6,2
2020-11-16,5,3
2020-11-17,7,1
2020-11-18,8,0
2020-11-19,8,0
2020-11-20,7,1
2020-11-21,8,0
2020-11-22,8,0
2020-11-23,7,1
2020-11-24,8,0
2020-11-25,8,0
2020-11-26,8,0
2020-11-27,8,0
2020-11-28,8,0
2020-11-29,8,0
2020-11-30,7,1
2020-12-01,7,1
2020-12-02,8,0
2020-12-03,8,0
2020-12-04,8,0
2020-12-05,8,0
2020-12-06,8,0
2020-12-07,8,0
2020-12-08,7,1
2020-12-09,7,1
2020-12-10,6,2
2020-12-11,5,3
2020-12-12,7,1
2020-12-13,6,2
2020-12-14,7,1
2020-12-15,6,2
2020-12-16,8,0
2020-12-17,7,1
2020-12-18,7,1
2020-12-19,5,3
2020-12-20,3,5
2020-12-21,5,3
2020-12-22,5,3
2020-12-23,2,6
2020-12-24,1,7
2020-12-25,2,6
2020-12-26,4,4
2020-12-27,6,2
2020-12-28,4,4
2020-12-29,6,2
2020-12-30,6,2
2020-12-31,6,2
2021-01-01,8,0
2021-01-02,8,0
2021-01-03,8,0
2021-01-04,8,0
2021-01-05,6,2
2021-01-06,6,2
2021-01-07,5,3
2021-01-08,6,2
2021-01-09,4,4
2021-01-10,8,0
2021-01-11,7,1
2021-01-12,8,0
2021-01-13,7,1
2021-01-14,8,0
2021-01-15,8,0
2021-01-16,7,1
2021-01-17,7,1
2021-01-18,7,1
2021-01-19,8,0
2021-01-20,8,0
2021-01-21,8,0
2021-01-22,6,2
2021-01-23,7,1
2021-01-24,6,2
2021-01-25,6,2
2021-01-26,6,2
2021-01-27,7,1
2021-01-28,7,1
2021-01-29,6,2
2021-01-30,6,2
2021-01-31,6,2
2021-02-01,6,2
2021-02-02,4,4
2021-02-03,4,4
2021-02-04,6,2
2021-02-05,7,1
2021-02-06,7,1
2021-02-07,5,3
2021-02-08,7,1
2021-02-09,6,2
2021-02-10,8,0
2021-02-11,7,1
2021-02-12,6,2
2021-02-13,4,4
2021-02-14,3,5
2021-02-15,6,2
2021-02-16,5,3
2021-02-17,7,1
2021-02-18,6,2
2021-02-19,7,1
2021-02-20,2,6
2021-02-21,2,6
2021-02-22,5,3
2021-02-23,7,1
2021-02-24,8,0
2021-02-25,7,1
2021-02-26,8,0
2021-02-27,3,5
2021-02-28,4,4
2021-03-01,5,3
2021-03-02,5,3
2021-03-03,7,1
2021-03-04,7,1
2021-03-05,6,2
2021-03-06,5,3
2021-03-07,5,3
2021-03-08,6,2
2021-03-09,7,1
2021-03-10,6,2
2021-03-11,5,3
2021-03-12,7,1
2021-03-13,8,0
2021-03-14,8,0
2021-03-15,6,2
2021-03-16,6,2
2021-03-17,7,1
2021-03-18,6,2
2021-03-19,6,2
2021-03-20,8,0
2021-03-21,8,0
2021-03-22,6,2
2021-03-23,7,1
2021-03-24,5,3
2021-03-25,7,1
2021-03-26,7,1
2021-03-27,8,0
2021-03-28,6,2
2021-03-29,6,2
2021-03-30,6,2
2021-03-31,6,2
2021-04-01,7,1
2021-04-02,7,1
2021-04-03,8,0
2021-04-04,8,0
2021-04-05,8,0
2021-04-06,8,0
2021-04-07,7,1
2021-04-08,8,0
2021-04-09,8,0
2021-04-10,7,1
2021-04-11,7,1
2021-04-12,8,0
2021-04-13,8,0
2021-04-14,7,1
2021-04-15,8,0
2021-04-16,8,0
2021-04-17,7,1
2021-04-18,8,0
2021-04-19,8,0
2021-04-20,6,2
2021-04-21,7,1
2021-04-22,7,1
2021-04-23,7,1
2021-04-24,6,2
2021-04-25,7,1
2021-04-26,7,1
2021-04-27,7,1
2021-04-28,6,2
2021-04-29,8,0
2021-04-30,8,0
2021-05-01,8,0
2021-05-02,8,0
2021-05-03,8,0
2021-05-04,8,0
2021-05-05,8,0
2021-05-06,8,0
2021-05-07,8,0
2021-05-08,8,0
2021-05-09,8,0
2021-05-10,8,0
2021-05-11,7,1
2021-05-12,7,1
2021-05-13,7,1
2021-05-14,5,3
2021-05-15,7,1
2021-05-16,7,1
2021-05-17,8,0
2021-05-18,8,0
2021-05-19,8,0
2021-05-20,8,0
2021-05-21,8,0
2021-05-22,8,0
2021-05-23,8,0
2021-05-24,8,0
2021-05-25,8,0
2021-05-26,8,0
2021-05-27,8,0
2021-05-28,8,0
2021-05-29,7,1
2021-05-30,7,1
2021-05-31,8,0
2021-06-01,7,1
2021-06-02,7,1
2021-06-03,8,0
2021-06-04,8,0
2021-06-05,7,1
2021-06-06,8,0
2021-06-07,6,2
2021-06-08,5,3
2021-06-09,8,0
2021-06-10,8,0
2021-06-11,7,1
2021-06-12,7,1
2021-06-13,6,2
2021-06-14,7,1
2021-06-15,5,3
2021-06-16,5,3
2021-06-17,6,2
2021-06-18,8,0
2021-06-19,7,1
2021-06-20,7,1
2021-06-21,7,1
2021-06-22,6,2
2021-06-23,5,3
2021-06-24,6,2
2021-06-25,6,2
2021-06-26,4,4
2021-06-27,4,4
2021-06-28,4,4
2021-06-29,1,7
2021-06-30,6,2
2021-07-01,6,2
2021-07-02,7,1
2021-07-03,6,2
2021-07-04,4,4
2021-07-05,5,3
2021-07-06,8,0
2021-07-07,8,0
2021-07-08,7,1
2021-07-09,8,0
2021-07-10,7,1
2021-07-11,7,1
2021-07-12,5,3
2021-07-13,6,2
2021-07-14,8,0
2021-07-15,7,1
2021-07-16,4,4
2021-07-17,6,2
2021-07-18,5,3
2021-07-19,6,2
2021-07-20,6,2
2021-07-21,5,3
2021-07-22,6,2
2021-07-23,6,2
2021-07-24,7,1
2021-07-25,6,2
2021-07-26,8,0
2021-07-27,7,1
2021-07-28,6,2
2021-07-29,8,0
2021-07-30,8,0
2021-07-31,7,1
2021-08-01,8,0
2021-08-02,8,0
2021-08-03,7,1
2021-08-04,8,0
2021-08-05,8,0
2021-08-06,8,0
2021-08-07,7,1
2021-08-08,8,0
2021-08-09,7,1
2021-08-10,7,1
2021-08-11,8,0
2021-08-12,7,1
2021-08-13,8,0
2021-08-14,8,0
2021-08-15,8,0
2021-08-16,8,0
2021-08-17,8,0
2021-08-18,8,0
2021-08-19,8,0
2021-08-20,5,3
2021-08-21,5,3
2021-08-22,6,2
2021-08-23,7,1
2021-08-24,7,1
2021-08-25,8,0
2021-08-26,8,0
2021-08-27,7,1
2021-08-28,6,2
2021-08-29,7,1
2021-08-30,7,1
2021-08-31,7,1
2021-09-01,7,1
2021-09-02,7,1
2021-09-03,6,2
2021-09-04,6,2
2021-09-05,7,1
2021-09-06,6,2
2021-09-07,8,0
2021-09-08,7,1
2021-09-09,7,1
2021-09-10,8,0
2021-09-11,8,0
2021-09-12,8,0
2021-09-13,8,0
2021-09-14,6,2
2021-09-15,7,1
2021-09-16,5,3
2021-09-17,5,3
2021-09-18,7,1
2021-09-19,7,1
2021-09-20,7,1
2021-09-21,7,1
2021-09-22,8,0
2021-09-23,8,0
2021-09-24,7,1
2021-09-25,6,2
2021-09-26,8,0
2021-09-27,7,1
2021-09-28,8,0
2021-09-29,8,0
2021-09-30,8,0
2021-10-01,8,0
2021-10-02,8,0
2021-10-03,8,0
2021-10-04,8,0
2021-10-05,8,0
2021-10-06,8,0
2021-10-07,8,0
2021-10-08,8,0
2021-10-09,8,0
2021-10-10,8,0
2021-10-11,8,0
2021-10-12,7,1
2021-10-13,7,1
2021-10-14,8,0
2021-10-15,8,0
2021-10-16,8,0
2021-10-17,8,0
2021-10-18,8,0
2021-10-19,8,0
2021-10-20,8,0
2021-10-21,8,0
2021-10-22,7,1
2021-10-23,8,0
2021-10-24,8,0
2021-10-25,8,0
2021-10-26,8,0
2021-10-27,8,0
2021-10-28,8,0
2021-10-29,8,0
2021-10-30,8,0
2021-10-31,8,0
2021-11-01,7,1
2021-11-02,7,1
2021-11-03,8,0
2021-11-04,8,0
2021-11-05,8,0
2021-11-06,8,0
2021-11-07,8,0
2021-11-08,8,0
2021-11-09,7,1
2021-11-10,7,1
2021-11-11,8,0
2021-11-12,8,0
2021-11-13,8,0
2021-11-14,8,0
2021-11-15,8,0
2021-11-16,7,1
2021-11-17,7,1
2021-11-18,7,1
2021-11-19,7,1
2021-11-20,8,0
2021-11-21,8,0
2021-11-22,8,0
2021-11-23,8,0
2021-11-24,8,0
2021-11-25,8,0
2021-11-26,8,0
2021-11-27,8,0
2021-11-28,8,0
2021-11-29,8,0
2021-11-30,8,0
2021-12-01,7,1
2021-12-02,7,1
2021-12-03,8,0
2021-12-04,7,1
2021-12-05,8,0
2021-12-06,8,0
2021-12-07,8,0
2021-12-08,8,0
2021-12-09,7,1
2021-12-10,6,2
2021-12-11,8,0
2021-12-12,8,0
2021-12-13,8,0
2021-12-14,8,0
2021-12-15,8,0
2021-12-16,8,0
2021-12-17,8,0
2021-12-18,8,0
2021-12-19,8,0
2021-12-20,7,1
2021-12-21,7,1
2021-12-22,7,1
2021-12-23,8,0
2021-12-24,7,1
2021-12-25,8,0
2021-12-26,8,0
2021-12-27,8,0
2021-12-28,8,0
2021-12-29,6,2
2021-12-30,6,2
2021-12-31,7,1
2022-01-01,7,1
2022-01-02,6,2
2022-01-03,5,3
2022-01-04,6,2
2022-01-05,5,3
2022-01-06,4,4
2022-01-07,4,4
2022-01-08,4,4
2022-01-09,7,1
2022-01-10,7,1
2022-01-11,7,1
2022-01-12,8,0
2022-01-13,7,1
2022-01-14,8,0
2022-01-15,8,0
2022-01-16,7,1
2022-01-17,8,0
2022-01-18,7,1
2022-01-19,8,0
2022-01-20,8,0
2022-01-21,8,0
2022-01-22,7,1
2022-01-23,8,0
2022-01-24,8,0
2022-01-25,8,0
2022-01-26,8,0
2022-01-27,8,0
2022-01-28,8,0
2022-01-29,8,0
2022-01-30,8,0
2022-01-31,7,1
2022-02-01,8,0
2022-02-02,7,1
2022-02-03,8,0
2022-02-04,8,0
2022-02-05,7,1
2022-02-06,8,0
2022-02-07,8,0
2022-02-08,8,0
2022-02-09,8,0
2022-02-10,8,0
2022-02-11,7,1
2022-02-12,7,1
2022-02-13,8,0
2022-02-14,8,0
2022-02-15,8,0
2022-02-16,8,0
2022-02-17,7,1
2022-02-18,8,0
2022-02-19,8,0
2022-02-20,7,1
2022-02-21,7,1
2022-02-22,8,0
2022-02-23,7,1
2022-02-24,7,1
2022-02-25,6,2
2022-02-26,6,2
2022-02-27,8,0
2022-02-28,8,0
