date,betten_belegt,betten_frei
2020-07-30,7,5
2020-07-31,7,5
2020-08-01,9,3
2020-08-02,8,4
2020-08-03,9,3
2020-08-04,7,5
2020-08-05,11,1
2020-08-06,10,2
2020-08-07,7,5
2020-08-08,9,3
2020-08-09,8,4
2020-08-10,8,4
2020-08-11,10,2
2020-08-12,10,2
2020-08-13,8,4
2020-08-14,8,4
2020-08-15,9,3
2020-08-16,9,3
2020-08-17,9,3
2020-08-18,9,3
2020-08-19,9,3
2020-08-20,9,3
2020-08-21,9,3
2020-08-22,9,3
2020-08-23,9,3
2020-08-24,8,4
2020-08-25,10,2
2020-08-26,10,2
2020-08-27,8,4
2020-08-28,8,4
2020-08-29,8,4
2020-08-30,7,5
2020-08-31,8,4
2020-09-01,5,7
2020-09-02,5,7
2020-09-03,6,6
2020-09-04,6,6
2020-09-05,5,7
2020-09-06,6,6
2020-09-07,7,5
2020-09-08,8,4
2020-09-09,10,2
2020-09-10,5,7
2020-09-11,7,5
2020-09-12,6,6
2020-09-13,5,7
2020-09-14,7,5
2020-09-15,4,8
2020-09-16,7,5
2020-09-17,7,5
2020-09-18,7,5
2020-09-19,7,5
2020-09-20,6,6
2020-09-21,7,5
2020-09-22,9,3
2020-09-23,9,3
2020-09-24,9,3
2020-09-25,6,6
2020-09-26,8,4
2020-09-27,7,5
2020-09-28,8,4
2020-09-29,6,6
2020-09-30,7,5
2020-10-01,8,4
2020-10-02,4,8
2020-10-03,6,6
2020-10-04,5,7
2020-10-05,8,4
2020-10-06,8,4
2020-10-07,8,4
2020-10-08,7,5
2020-10-09,7,5
2020-10-10,6,6
2020-10-11,7,5
2020-10-12,7,5
2020-10-13,4,8
2020-10-14,5,7
2020-10-15,7,5
2020-10-16,7,5
2020-10-17,2,10
2020-10-18,4,8
2020-10-19,7,5
2020-10-20,4,8
2020-10-21,9,3
2020-10-22,6,6
2020-10-23,6,6
2020-10-24,9,3
2020-10-25,6,6
2020-10-26,8,4
2020-10-27,9,3
2020-10-28,7,5
2020-10-29,6,6
2020-10-30,5,7
2020-10-31,6,6
2020-11-01,6,6
2020-11-02,5,7
2020-11-03,6,6
2020-11-04,6,6
2020-11-05,8,4
2020-11-06,10,2
2020-11-07,9,3
2020-11-08,7,5
2020-11-09,7,5
2020-11-10,9,3
2020-11-11,7,5
2020-11-12,10,2
2020-11-13,7,5
2020-11-14,9,3
2020-11-15,8,4
2020-11-16,7,5
2020-11-17,7,5
2020-11-18,10,2
2020-11-19,8,4
2020-11-20,8,4
2020-11-21,8,4
2020-11-22,5,7
2020-11-23,7,5
2020-11-24,6,6
2020-11-25,8,4
2020-11-26,9,3
2020-11-27,10,2
2020-11-28,8,4
2020-11-29,8,4
2020-11-30,5,7
2020-12-01,5,7
2020-12-02,5,7
2020-12-03,4,8
2020-12-04,4,8
2020-12-05,6,6
2020-12-06,6,6
2020-12-07,6,6
2020-12-08,6,6
2020-12-09,8,4
2020-12-10,8,4
2020-12-11,5,7
2020-12-12,5,7
2020-12-13,7,5
2020-12-14,6,6
2020-12-15,5,7
2020-12-16,10,2
2020-12-17,8,4
2020-12-18,8,4
2020-12-19,8,4
2020-12-20,5,7
2020-12-21,6,6
2020-12-22,5,7
2020-12-23,5,7
2020-12-24,3,9
2020-12-25,6,6
2020-12-26,5,7
2020-12-27,6,6
2020-12-28,6,6
2020-12-29,7,5
2020-12-30,7,5
2020-12-31,6,6
2021-01-01,7,5
2021-01-02,5,7
2021-01-03,8,4
2021-01-04,6,6
2021-01-05,7,5
2021-01-06,8,4
2021-01-07,8,4
2021-01-08,8,4
2021-01-09,4,8
2021-01-10,5,7
2021-01-11,9,3
2021-01-12,6,6
2021-01-13,7,5
2021-01-14,2,10
2021-01-15,7,5
2021-01-16,7,5
2021-01-17,5,7
2021-01-18,5,7
2021-01-19,3,9
2021-01-20,6,6
2021-01-21,8,4
2021-01-22,7,5
2021-01-23,5,7
2021-01-24,6,6
2021-01-25,8,4
2021-01-26,9,3
2021-01-27,10,2
2021-01-28,8,4
2021-01-29,10,2
2021-01-30,11,1
2021-01-31,7,5
2021-02-01,7,5
2021-02-02,8,4
2021-02-03,10,2
2021-02-04,9,3
2021-02-05,9,3
2021-02-06,9,3
2021-02-07,8,4
2021-02-08,8,4
2021-02-09,6,6
2021-02-10,8,4
2021-02-11,7,5
2021-02-12,7,5
2021-02-13,9,3
2021-02-14,8,4
2021-02-15,9,3
2021-02-16,9,3
2021-02-17,10,2
2021-02-18,7,5
2021-02-19,7,5
2021-02-20,7,5
2021-02-21,7,5
2021-02-22,7,5
2021-02-23,4,8
2021-02-24,5,7
2021-02-25,7,5
2021-02-26,5,7
2021-02-27,5,7
2021-02-28,5,7
2021-03-01,3,9
2021-03-02,4,8
2021-03-03,5,7
2021-03-04,7,5
2021-03-05,4,8
2021-03-06,5,7
2021-03-07,6,6
2021-03-08,6,6
2021-03-09,6,6
2021-03-10,10,2
2021-03-11,7,5
2021-03-12,8,4
2021-03-13,10,2
2021-03-14,7,5
2021-03-15,9,3
2021-03-16,8,4
2021-03-17,7,5
2021-03-18,7,5
2021-03-19,9,3
2021-03-20,9,3
2021-03-21,9,3
2021-03-22,8,4
2021-03-23,9,3
2021-03-24,10,2
2021-03-25,8,4
2021-03-26,8,4
2021-03-27,7,5
2021-03-28,11,1
2021-03-29,9,3
2021-03-30,11,1
2021-03-31,11,1
2021-04-01,11,1
2021-04-02,9,3
2021-04-03,5,7
2021-04-04,6,6
2021-04-05,7,5
2021-04-06,9,3
2021-04-07,9,3
2021-04-08,8,4
2021-04-09,8,4
2021-04-10,9,3
2021-04-11,6,6
2021-04-12,6,6
2021-04-13,7,5
2021-04-14,7,5
2021-04-15,7,5
2021-04-16,11,1
2021-04-17,9,3
2021-04-18,6,6
2021-04-19,6,6
2021-04-20,8,4
2021-04-21,6,6
2021-04-22,5,7
2021-04-23,5,7
2021-04-24,4,8
2021-04-25,6,6
2021-04-26,7,5
2021-04-27,4,8
2021-04-28,7,5
2021-04-29,6,6
2021-04-30,10,2
2021-05-01,9,3
2021-05-02,8,4
2021-05-03,8,4
2021-05-04,8,4
2021-05-05,11,1
2021-05-06,10,2
2021-05-07,10,2
2021-05-08,6,6
2021-05-09,9,3
2021-05-10,9,3
2021-05-11,7,5
2021-05-12,6,6
2021-05-13,7,5
2021-05-14,7,5
2021-05-15,5,7
2021-05-16,5,7
2021-05-17,5,7
2021-05-18,6,6
2021-05-19,4,8
2021-05-20,8,4
2021-05-21,9,3
2021-05-22,9,3
2021-05-23,8,4
2021-05-24,5,7
2021-05-25,7,5
2021-05-26,9,3
2021-05-27,8,4
2021-05-28,7,5
2021-05-29,7,5
2021-05-30,6,6
2021-05-31,6,6
2021-06-01,5,7
2021-06-02,6,6
2021-06-03,6,6
2021-06-04,7,5
2021-06-05,10,2
2021-06-06,10,2
2021-06-07,8,4
2021-06-08,9,3
2021-06-09,7,5
2021-06-10,9,3
2021-06-11,11,1
2021-06-12,7,5
2021-06-13,7,5
2021-06-14,5,7
2021-06-15,9,3
2021-06-16,11,1
2021-06-17,9,3
2021-06-18,11,1
2021-06-19,11,1
2021-06-20,11,1
2021-06-21,6,6
2021-06-22,7,5
2021-06-23,9,3
2021-06-24,9,3
2021-06-25,9,3
2021-06-26,8,4
2021-06-27,8,4
2021-06-28,10,2
2021-06-29,5,7
2021-06-30,6,6
2021-07-01,7,5
2021-07-02,9,3
2021-07-03,7,5
2021-07-04,7,5
2021-07-05,5,7
2021-07-06,7,5
2021-07-07,10,2
2021-07-08,11,1
2021-07-09,10,2
2021-07-10,7,5
2021-07-11,7,5
2021-07-12,6,6
2021-07-13,7,5
2021-07-14,5,7
2021-07-15,7,5
2021-07-16,4,8
2021-07-17,5,7
2021-07-18,6,6
2021-07-19,6,6
2021-07-20,7,5
2021-07-21,5,7
2021-07-22,6,6
2021-07-23,5,7
2021-07-24,6,6
2021-07-25,10,2
2021-07-26,7,5
2021-07-27,7,5
2021-07-28,8,4
2021-07-29,7,5
2021-07-30,6,6
2021-07-31,6,6
2021-08-01,8,4
2021-08-02,5,7
2021-08-03,6,6
2021-08-04,7,5
2021-08-05,9,3
2021-08-06,8,4
2021-08-07,8,4
2021-08-08,7,5
2021-08-09,8,4
2021-08-10,6,6
2021-08-11,7,5
2021-08-12,6,6
2021-08-13,10,2
2021-08-14,6,6
2021-08-15,8,4
2021-08-16,6,6
2021-08-17,6,6
2021-08-18,6,6
2021-08-19,6,6
2021-08-20,8,4
2021-08-21,3,9
2021-08-22,5,7
2021-08-23,5,7
2021-08-24,9,3
2021-08-25,10,2
2021-08-26,9,3
2021-08-27,5,7
2021-08-28,3,9
2021-08-29,9,3
2021-08-30,9,3
2021-08-31,5,7
2021-09-01,8,4
2021-09-02,8,4
2021-09-03,7,5
2021-09-04,8,4
2021-09-05,9,3
2021-09-06,5,7
2021-09-07,7,5
2021-09-08,5,7
2021-09-09,8,4
2021-09-10,10,2
2021-09-11,9,3
2021-09-12,7,5
2021-09-13,8,4
2021-09-14,8,4
2021-09-15,9,3
2021-09-16,8,4
2021-09-17,5,7
2021-09-18,4,8
2021-09-19,6,6
2021-09-20,7,5
2021-09-21,6,6
2021-09-22,5,7
2021-09-23,6,6
2021-09-24,4,8
2021-09-25,4,8
2021-09-26,4,8
2021-09-27,9,3
2021-09-28,9,3
2021-09-29,7,5
2021-09-30,9,3
2021-10-01,10,2
2021-10-02,9,3
2021-10-03,8,4
2021-10-04,9,3
2021-10-05,10,2
2021-10-06,11,1
2021-10-07,11,1
2021-10-08,11,1
2021-10-09,8,4
2021-10-10,6,6
2021-10-11,6,6
2021-10-12,9,3
2021-10-13,10,2
2021-10-14,10,2
2021-10-15,11,1
2021-10-16,10,2
2021-10-17,8,4
2021-10-18,7,5
2021-10-19,9,3
2021-10-20,8,4
2021-10-21,9,3
2021-10-22,7,5
2021-10-23,9,3
2021-10-24,5,7
2021-10-25,5,7
2021-10-26,6,6
2021-10-27,6,6
2021-10-28,7,5
2021-10-29,8,4
2021-10-30,10,2
2021-10-31,9,3
2021-11-01,7,5
2021-11-02,12,0
2021-11-03,4,8
2021-11-04,5,7
2021-11-05,4,8
2021-11-06,7,5
2021-11-07,7,5
2021-11-08,9,3
2021-11-09,10,2
2021-11-10,10,2
2021-11-11,8,4
2021-11-12,11,1
2021-11-13,6,6
2021-11-14,7,5
2021-11-15,9,3
2021-11-16,10,2
2021-11-17,12,0
2021-11-18,9,3
2021-11-19,10,2
2021-11-20,10,2
2021-11-21,9,3
2021-11-22,10,2
2021-11-23,7,5
2021-11-24,7,5
2021-11-25,10,2
2021-11-26,8,4
2021-11-27,8,4
2021-11-28,8,4
2021-11-29,7,5
2021-11-30,9,3
2021-12-01,8,4
2021-12-02,8,4
2021-12-03,9,3
2021-12-04,10,2
2021-12-05,5,7
2021-12-06,7,5
2021-12-07,6,6
2021-12-08,8,4
2021-12-09,8,4
2021-12-10,8,4
2021-12-11,8,4
2021-12-12,8,4
2021-12-13,8,4
2021-12-14,8,4
2021-12-15,9,3
2021-12-16,8,4
2021-12-17,7,5
2021-12-18,4,8
2021-12-19,6,6
2021-12-20,6,6
2021-12-21,6,6
2021-12-22,4,8
2021-12-23,3,9
2021-12-24,8,4
2021-12-25,6,6
2021-12-26,9,3
2021-12-27,8,4
2021-12-28,7,5
2021-12-29,6,6
2021-12-30,3,9
2021-12-31,7,5
2022-01-01,7,5
2022-01-02,7,5
2022-01-03,7,5
2022-01-04,8,4
2022-01-05,10,2
2022-01-06,9,3
2022-01-07,10,2
2022-01-08,8,4
2022-01-09,6,6
2022-01-10,4,8
2022-01-11,7,5
2022-01-12,6,6
2022-01-13,5,7
2022-01-14,9,3
2022-01-15,8,4
2022-01-16,8,4
2022-01-17,6,6
2022-01-18,6,6
2022-01-19,10,2
2022-01-20,5,7
2022-01-21,8,4
2022-01-22,6,6
2022-01-23,6,6
2022-01-24,7,5
2022-01-25,8,4
2022-01-26,8,4
2022-01-27,9,3
2022-01-28,7,5
2022-01-29,10,2
2022-01-30,8,4
2022-01-31,7,5
2022-02-01,7,5
2022-02-02,6,6
2022-02-03,9,3
2022-02-04,7,5
2022-02-05,5,7
2022-02-06,6,6
2022-02-07,4,8
2022-02-08,7,5
2022-02-09,7,5
2022-02-10,8,4
2022-02-11,5,7
2022-02-12,4,8
2022-02-13,4,8
2022-02-14,6,6
2022-02-15,6,6
2022-02-16,5,7
2022-02-17,6,6
2022-02-18,7,5
2022-02-19,6,6
2022-02-20,5,7
2022-02-21,7,5
2022-02-22,9,3
2022-02-23,8,4
2022-02-24,11,1
2022-02-25,8,4
2022-02-26,6,6
